@RELATION svmModel
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {normalOG,murmurOG,Noisy Murmur}

@DATA
0.054324,0.008909,2.620228,0.174137,0.223925,0.402074,0.030491,0.065917,-32.230941,6.847650,-3.407289,3.407900,-1.118670,0.749179,0.545207,-0.861765,1.085844,-0.657910,0.559278,-0.048624,-0.279992,0.003170,0.000294,0.134675,0.001845,0.009629,0.001226,0.203669,0.000250,0.000781,0.004900,0.049565,0.000423,0.071611,0.027867,0.015227,0.387180,0.034068,0.026746,0.244043,0.018139,0.033021,1.425279,0.628422,0.335222,0.302970,0.301026,0.222547,0.159500,0.154923,0.189665,0.218872,0.186756,0.133374,0.120584,0.003197,0.000371,0.079354,0.002514,0.008995,0.001436,0.095738,0.000302,0.000832,0.004778,0.036778,0.000554,0.019394,normalOG
0.070070,0.013345,2.704898,0.182393,0.213555,0.604393,0.028373,0.099685,-32.062211,7.119798,-3.550418,2.947621,-1.162997,0.848950,0.475822,-0.871771,1.185998,-0.690579,0.440967,0.039601,-0.192998,0.004534,0.000651,0.102699,0.002767,0.009012,0.002237,0.204058,0.000524,0.001336,0.010221,0.051895,0.001188,0.066505,0.034506,0.028395,0.421721,0.039210,0.032330,0.323740,0.019431,0.064271,1.390934,0.739483,0.321373,0.415424,0.323613,0.186700,0.167661,0.160831,0.176796,0.210638,0.225574,0.163202,0.133426,0.004831,0.000982,0.074853,0.002861,0.007519,0.002105,0.090888,0.000678,0.001302,0.018236,0.030297,0.001724,0.019873,normalOG
0.095268,0.008126,2.643660,0.196635,0.212412,0.917449,0.026227,0.144833,-31.486185,7.449046,-3.565767,2.929633,-1.552435,0.617249,0.663434,-0.886895,1.005166,-0.709800,0.519300,0.068235,-0.208495,0.006691,0.002405,0.082461,0.005027,0.014649,0.005077,0.178786,0.000698,0.004507,0.007377,0.052109,0.002017,0.056013,0.042568,0.012297,0.469777,0.038694,0.038678,0.437826,0.013145,0.067260,1.346046,0.944348,0.318312,0.485826,0.306167,0.261249,0.168441,0.160416,0.182262,0.187768,0.225915,0.219788,0.175942,0.008107,0.004791,0.057021,0.005639,0.011217,0.005371,0.085619,0.000844,0.005627,0.006293,0.028891,0.003246,0.020915,normalOG
0.093194,0.010828,2.638908,0.203916,0.227275,0.679364,0.023075,0.145339,-32.185270,6.876477,-3.523116,3.293709,-1.234330,0.657238,0.753287,-0.672161,1.112237,-0.733449,0.470214,0.086613,-0.241793,0.004955,0.000826,0.125775,0.002149,0.015189,0.002033,0.175996,0.000510,0.001217,0.005926,0.052554,0.000880,0.062340,0.059204,0.022002,0.456662,0.062193,0.039457,0.443263,0.013256,0.127479,1.308973,0.811801,0.390747,0.412536,0.348642,0.251634,0.202410,0.174531,0.203558,0.186949,0.223178,0.146334,0.140567,0.006199,0.000953,0.065750,0.002134,0.015410,0.002158,0.079864,0.000680,0.001240,0.005755,0.033472,0.001203,0.016997,normalOG
0.100084,0.005061,2.476174,0.210220,0.225351,0.896437,0.025927,0.151500,-32.955750,6.841042,-3.239667,3.007002,-1.205116,0.498081,0.542942,-0.767849,1.024545,-0.631246,0.373594,-0.009638,-0.248855,0.007659,0.001606,0.112880,0.004606,0.014138,0.003628,0.162886,0.000694,0.002396,0.009855,0.047720,0.001475,0.057087,0.049725,0.009775,0.621789,0.051036,0.046305,0.416318,0.015672,0.085877,1.786296,1.216790,0.324422,0.452058,0.362281,0.267209,0.184433,0.159495,0.179094,0.215735,0.211507,0.141346,0.127397,0.006212,0.001950,0.074504,0.004073,0.010922,0.004617,0.080955,0.000879,0.002307,0.009993,0.024316,0.001793,0.019500,normalOG
0.073953,0.005036,2.532635,0.181055,0.199194,0.805435,0.037600,0.128167,-33.400650,7.079361,-3.059996,2.524085,-0.993103,0.722771,0.545231,-0.699016,0.961678,-0.646779,0.320682,-0.038055,-0.239821,0.007420,0.001699,0.111682,0.005135,0.024642,0.005193,0.123043,0.000569,0.002430,0.010130,0.056042,0.001643,0.046552,0.020314,0.011837,0.412254,0.028080,0.028675,0.329550,0.012268,0.056188,1.172189,0.791929,0.340677,0.253559,0.306167,0.191784,0.115885,0.135037,0.163647,0.138685,0.110063,0.110581,0.103923,0.006681,0.001287,0.041432,0.005081,0.009147,0.003408,0.052387,0.001137,0.002125,0.008415,0.017100,0.001650,0.014276,normalOG
0.076633,0.016594,2.698420,0.189206,0.223050,0.715184,0.024851,0.111000,-32.627853,6.861723,-3.273057,3.163496,-1.181786,0.735068,0.593714,-0.876652,1.012089,-0.685841,0.420369,-0.085037,-0.269066,0.004509,0.000626,0.128845,0.003740,0.016449,0.002859,0.166876,0.000627,0.001837,0.006391,0.053497,0.000722,0.059843,0.034625,0.045070,0.468980,0.037861,0.031813,0.401537,0.014763,0.062059,1.533371,0.802687,0.315519,0.311159,0.234940,0.236362,0.195952,0.174204,0.273369,0.188084,0.221641,0.140938,0.127632,0.004275,0.000707,0.062250,0.004601,0.013622,0.003925,0.069779,0.000897,0.002504,0.006592,0.028300,0.000884,0.015329,normalOG
0.091843,0.004963,2.691604,0.211651,0.244619,0.633982,0.021533,0.099600,-32.931106,6.425800,-3.393247,3.410367,-1.146001,0.569506,0.636754,-0.707880,1.055992,-0.767313,0.415792,0.041300,-0.243480,0.003692,0.000698,0.134608,0.002835,0.012128,0.001474,0.179000,0.000551,0.002029,0.006308,0.048510,0.000611,0.065143,0.041151,0.012466,0.418261,0.036563,0.026574,0.324087,0.010106,0.069126,1.146692,0.700752,0.246382,0.265199,0.233600,0.260284,0.193222,0.164807,0.160006,0.178881,0.152273,0.147396,0.123706,0.003647,0.000797,0.071644,0.002037,0.012333,0.001476,0.084797,0.000653,0.003586,0.007345,0.028191,0.000555,0.017243,normalOG
0.079797,0.012119,2.673771,0.192658,0.230031,0.588197,0.032421,0.105574,-31.752981,6.915977,-3.607464,3.448268,-1.263762,0.736145,0.618385,-0.828004,1.143912,-0.710217,0.560260,-0.027158,-0.238537,0.002906,0.000530,0.147660,0.002072,0.015977,0.001753,0.167929,0.000475,0.001526,0.005054,0.054285,0.000883,0.065641,0.043399,0.025476,0.382053,0.046933,0.028112,0.388529,0.021715,0.078766,1.095228,0.583408,0.309167,0.204920,0.291324,0.227440,0.171573,0.175417,0.173311,0.203285,0.154672,0.146022,0.119398,0.003261,0.000723,0.082560,0.002092,0.015083,0.002163,0.078380,0.000651,0.001946,0.005175,0.042375,0.001258,0.017944,normalOG
0.079640,0.011106,2.682510,0.181788,0.211737,0.715512,0.025541,0.110833,-30.899180,7.531514,-3.733429,3.251727,-1.232157,0.782123,0.362477,-0.986926,1.251210,-0.756057,0.432282,0.006042,-0.172989,0.007842,0.000784,0.137860,0.004040,0.012824,0.003833,0.173047,0.000370,0.001930,0.006227,0.047376,0.001003,0.063495,0.030883,0.016210,0.380762,0.030699,0.024268,0.351257,0.015040,0.057907,0.910803,0.492936,0.262045,0.305971,0.308687,0.177224,0.156829,0.153661,0.157673,0.174620,0.225225,0.148373,0.123883,0.009082,0.000941,0.076343,0.005461,0.010120,0.004429,0.077700,0.000383,0.002013,0.005450,0.027505,0.001223,0.016746,normalOG
